run,bore,timestamp,mean_temp_C,mean_ohm,std_temp_C,std_ohm,drift_C_per_min
1,A,2026-04-16T12:48:51Z,48.518,118.873,0.018,0.007,-0.001
1,B,2026-04-16T13:30:41Z,48.482,118.859,0.017,0.007,0.001
1,A,2026-04-16T14:18:12Z,48.48,118.858,0.017,0.007,0.005
2,A,2026-04-16T14:18:12Z,48.48,118.858,0.017,0.007,0.005
2,B,2026-04-16T14:58:34Z,48.508,118.869,0.018,0.007,0.004
2,A,2026-04-16T15:29:18Z,48.495,118.864,0.016,0.006,0.001
3,A,2026-04-16T15:29:18Z,48.495,118.864,0.016,0.006,0.001
3,B,2026-04-16T16:31:02Z,48.542,118.882,0.017,0.007,0.002
3,A,2026-04-16T17:37:25Z,48.549,118.885,0.018,0.007,0.003
4,A,2026-04-16T17:37:25Z,48.549,118.885,0.018,0.007,0.003
4,B,2026-04-16T18:02:50Z,48.487,118.861,0.015,0.006,0.004
4,A,2026-04-16T18:32:59Z,48.461,118.851,0.015,0.006,0.003
5,A,2026-04-16T18:32:59Z,48.461,118.851,0.015,0.006,0.003
5,B,2026-04-16T19:02:43Z,48.542,118.882,0.016,0.006,-0.001
5,A,2026-04-16T19:40:23Z,48.552,118.886,0.017,0.007,0.004
