run,bore,timestamp,mean_temp_C,mean_ohm,std_temp_C,std_ohm,drift_C_per_min
1,B,2026-04-17T16:23:46Z,48.526,118.876,0.017,0.006,-0.002
1,A,2026-04-17T17:25:09Z,48.521,118.874,0.017,0.006,0.002
1,B,2026-04-17T18:27:50Z,48.495,118.864,0.016,0.006,0.002
2,B,2026-04-17T18:27:50Z,48.495,118.864,0.016,0.006,0.002
2,A,2026-04-17T19:00:17Z,48.469,118.854,0.017,0.007,0.001
2,B,2026-04-17T19:34:16Z,48.451,118.847,0.017,0.006,0.002
3,B,2026-04-17T19:34:16Z,48.451,118.847,0.017,0.006,0.002
3,A,2026-04-17T19:59:06Z,48.425,118.837,0.015,0.006,0.002
3,B,2026-04-17T20:32:38Z,48.433,118.840,0.016,0.006,0.003
4,B,2026-04-18T11:37:20Z,48.591,118.901,0.019,0.007,-0.003
4,A,2026-04-18T11:57:42Z,48.503,118.867,0.017,0.007,0.005
4,B,2026-04-18T12:28:24Z,48.492,118.863,0.013,0.005,0.003
5,B,2026-04-18T12:28:24Z,48.492,118.863,0.013,0.005,0.003
5,A,2026-04-18T13:06:03Z,48.544,118.883,0.019,0.007,0.000
5,B,2026-04-18T13:39:28Z,48.526,118.876,0.016,0.006,0.001
6,B,2026-04-18T13:39:28Z,48.526,118.876,0.016,0.006,0.001
6,A,2026-04-18T14:13:30Z,48.516,118.872,0.018,0.007,0.000
6,B,2026-04-18T14:48:25Z,48.513,118.871,0.017,0.007,0.001
7,B,2026-04-18T14:48:25Z,48.513,118.871,0.017,0.007,0.001
7,A,2026-04-18T15:15:50Z,48.498,118.865,0.016,0.006,0.004
7,B,2026-04-18T15:48:21Z,48.518,118.873,0.018,0.007,0.004
